isomap_1,isomap_2,isomap_3,isomap_4,isomap_5,isomap_6,player_name,equipe,positions
-14.933259094975275,-4.580006560276111,1.4600089502471452,5.641093896438821,-1.1556838962975677,1.5029913059277948,Jordan Lefort,Angers,DF
-4.728829879899386,-1.2692739440306258,0.16186652444500352,-4.0607609384803744,5.991786345905074,2.9020682406224534,Andrey Santos,Strasbourg,MF
-0.10316683663662161,-7.535313837867261,0.1939941075135058,-1.884261237010177,0.3521967551088274,-0.770226807371991,Valentin Atangana Edoa,Reims,MF
1.4932055425146118,6.623596907962277,-0.6505879257508255,-0.6224940560869623,0.2930214681772763,-1.7906257189692172,Himad Abdelli,Angers,"MF,FW"
14.9275706644495,7.3836090952613365,6.424727216136899,5.303783359571489,-2.771237750448069,-3.1823245868374483,Mason Greenwood,Marseille,"FW,MF"
15.642957737497218,1.91318946270653,-2.60696519327269,6.37405430277377,2.452993467680552,-1.6332089738194,Zuriko Davitashvili,Saint,"FW,MF"
-11.942905322841952,-6.776843726381448,0.24290116650639568,2.28979028206223,4.550596279941224,-4.229657637341641,Gautier Lloris,Le Havre,DF
18.453590877803013,-6.541680452189936,1.6456476824145556,0.42760435597889035,-0.7976623578111093,-0.9512923139011806,Matthis Abline,Nantes,FW
-16.250805984727517,-0.9437251909829626,8.812612401438754,1.4276161736692115,-4.734654673329706,0.48624553769417483,Bafodé Diakité,Lille,DF
0.5124650787853967,5.9203786222537484,-6.65326749181038,1.8407413733652014,-4.716933712105942,1.6035798690914655,Adrien Truffert,Rennes,"DF,MF"
-14.738871487677368,-1.8181705387689626,5.099096723348693,1.0405933172037811,-3.611242121776946,-0.4835715198032473,Moussa Niakhate,Lyon,DF
-10.790535315281844,2.374268429543425,-0.7232149718099912,-1.4611637320923379,-2.5274497472765787,-2.3476424030700436,Guela Doué,Strasbourg,DF
-17.1889297587646,2.5685342405723333,7.653446903519115,0.9604985513071719,-5.670174321786251,0.500045274395472,Alexsandro Ribeiro,Lille,DF
-2.2012835747844006,1.816977231964051,-6.979551711549685,-3.9698178049452837,6.654982975023859,5.9061470172441455,Cristian Cásseres Jr.,Toulouse,MF
-7.86134923401176,3.2860790505408937,2.516333888162229,-6.253082195809961,5.425690972268739,2.72926157530083,Benjamin André,Lille,MF
13.973732901552689,13.884317795099712,-7.253562202694929,5.779474707327345,1.5232185838744283,5.5908795085875935,Gaëtan Perrin,Auxerre,"MF,FW"
10.761788785417188,10.119089844271567,-8.922691789130083,5.210146113352656,0.17253058116756714,-0.6056708408335183,Junya Ito,Reims,"FW,MF"
2.7637545075925507,7.156615636992937,-7.210584101946904,2.4940011676928444,-0.6736891181383964,1.5298944352471846,Aron Dønnum,Toulouse,"DF,MF"
-8.073800904179146,7.345334356722353,-4.765371769682515,1.3092878164033948,-2.174709761163202,6.22609872639289,Kenny Lala,Brest,DF
-6.315783381498505,3.033509665436859,-7.199211527042518,0.46349586312522295,-5.027182664008797,2.1272099313583874,Florent Hanin,Angers,DF
-15.853945238604727,13.895065966281276,7.620518071409248,-6.686157862450206,1.2924538150973046,0.022604472754137035,Pierre Højbjerg,Marseille,MF
3.6782195248413347,-1.2198372719515898,0.009487306538511004,-2.608439816586195,2.83873437846436,-1.6149300982247232,Mahdi Camara,Brest,"MF,FW"
14.39885927710868,-2.2305074386664723,1.1225811225204638,0.4324789446255343,0.5060126510479778,-3.1678313940524396,Keito Nakamura,Reims,"FW,MF"
-14.945042785523507,-8.5250451048153,-1.1648644397359802,6.398045210248594,-0.2868608874054987,-0.5468824742788799,Jubal,Auxerre,DF
-10.414655505260827,-5.2358259984051765,7.454430017979778,0.8257628185164025,0.038465108117241166,-0.2566202514923359,Ismaël Doukouré,Strasbourg,"DF,MF"
-7.374975655003215,-3.9183410975223243,-6.976543855463347,0.8424394710382853,-3.49278431491678,-2.394515055647193,Léo Pétrot,Saint,DF
-14.695844040044692,-6.28978422562097,2.570948441893877,4.134139058789384,-0.687329884713443,0.42034225443344136,Jean-Charles Castelletto,Nantes,"DF,MF"
0.9785451602777064,5.734729629299968,-0.15611263330496794,-6.18305546787941,5.988526564007932,-0.561342470558334,Adrien Thomasson,Lens,MF
7.302987394834827,5.7153522918246855,-0.13598916662651467,4.434872100770119,-6.262365773313784,-3.210490857272486,Luis Henrique,Marseille,"DF,FW"
18.556986689417453,6.7362816605291505,-4.264565199248153,5.046941002051232,-3.4497768124003523,0.826222809059739,Moses Simon,Nantes,"FW,MF"
-13.982439468574027,-6.520348846391079,3.400577043687343,4.890059418015387,2.4011222752690995,1.4227629729264086,Charlie Cresswell,Toulouse,DF
15.715691183518143,-5.262202938670781,5.037792535594446,1.9476689416884778,-4.463862851052678,1.8224201704615304,Arnaud Kalimuendo,Rennes,"FW,MF"
-7.762000829348114,-1.7628666572299718,-1.2402700826200943,0.07677072470151769,4.1422564516213605,1.0229582827141006,Pierre Ekwah Elimby,Saint,MF
6.976537539286711,6.221504067431063,-2.817092078614615,-0.20144842640046232,-4.540951351424766,-4.321733136322471,Diego Moreira,Strasbourg,"DF,MF"
16.342211823341888,-0.5651659495633199,2.852480137246286,0.8485774904293819,3.771296245866122,-4.68145943183773,Evann Guessand,Nice,"FW,MF"
15.219682430299791,-4.573850533059565,4.796791154113699,0.8354858726397205,-1.055794162077064,1.0800590384075086,Jonathan David,Lille,FW
-11.013542568417302,6.1191388585701505,2.6995086783885864,2.979379420742125,-0.35756656005109116,0.8770697914030813,Facundo Medina,Lens,DF
-0.8901269631546541,-2.873821811327917,-5.398505511621876,4.319324369668269,-4.6359109268961705,0.8296560390569141,Sergio Akieme,Reims,DF
12.900719731355379,10.916340275744625,-4.713967082211573,7.481901247638209,0.7536201287498168,-2.1724393930416155,Dilane Bakwa,Strasbourg,"MF,DF"
