trustworthiness,continuity,distance_corr,mrre,n_neighbors,min_dist,n_components,runtime_s,composite_score
0.9158411955262349,0.9881582369771346,0.567207393337077,0.7600900116737945,5,0.0,2,0.2843971252441406,0.4399645977928124
0.9216419569175475,0.9882178241233359,0.5634154393502343,0.7519593045672012,5,0.0,3,0.29306793212890625,0.48039450616722024
0.9162072308529001,0.9881166205575654,0.5340000299627087,0.761271383410292,5,0.1,2,0.2994875907897949,0.3832687656293182
0.9236915655813294,0.9883701023858504,0.5903889372581179,0.7009017468718608,5,0.1,3,0.28816676139831543,0.6129883064453882
0.9124589156085219,0.988011633680925,0.5458167811736834,0.747597596750043,5,0.3,2,0.2815132141113281,0.38680009076443156
0.9248048048048048,0.9883256484831288,0.609961880537468,0.6493939657500556,5,0.3,3,0.2861669063568115,0.7063079697030061
0.905743538814405,0.9878659762124329,0.564154727365947,0.730242245644989,5,0.5,2,0.28043413162231445,0.38510500803342884
0.9272743609751484,0.988443876947814,0.6432014326424228,0.6133487319873174,5,0.5,3,0.28554797172546387,0.8286926763379115
0.9207188290652858,0.988876120214703,0.5739022290486153,0.7445252735944307,10,0.0,2,0.42644381523132324,0.5795724655974648
0.9232886429736824,0.9891314936984228,0.5047279883303787,0.7529101072831419,10,0.0,3,0.4377884864807129,0.504242001279887
0.9151204748055142,0.988797616514152,0.5108068525888393,0.7764529813179559,10,0.1,2,0.4274594783782959,0.40409139774247194
0.9207594996571374,0.9891645976685347,0.5586687972829277,0.693345192455144,10,0.1,3,0.4404592514038086,0.6520212714534359
0.9098068146887044,0.9887039795701213,0.5440738101094135,0.7631438618145349,10,0.3,2,0.422227144241333,0.43428179263183253
0.9228081624932019,0.9890605566196118,0.6007962676576072,0.6268547199546858,10,0.3,3,0.437302827835083,0.7965257144524535
0.910812229552387,0.9884741434347734,0.5471984258808883,0.7204704815271354,10,0.5,2,0.43610286712646484,0.46846026335404234
0.921819772528434,0.98915135608049,0.624261998897227,0.5955956938196252,10,0.5,3,0.434281587600708,0.8769397203047085
0.9098607268686009,0.9883606441086756,0.5295086545967953,0.7754784467076549,15,0.0,2,0.5527839660644531,0.3558787540148506
0.9180809155612305,0.9889148991511196,0.5477661822275582,0.7102759117231751,15,0.0,3,0.560502290725708,0.5710931145231664
0.9082367406776856,0.9884665768130335,0.5065961783013296,0.7536186839798049,15,0.1,2,0.5436055660247803,0.3506505090253196
0.9208342200468185,0.9889385448440566,0.5196632439425016,0.6977954703466158,15,0.1,3,0.5651748180389404,0.5588186675429028
0.9056555768366792,0.9882915986852995,0.5538689141201579,0.719086765830314,15,0.3,2,0.5518357753753662,0.4326698556087851
0.9229311200964745,0.9890936605897236,0.5590658251923197,0.6496922255433573,15,0.3,3,0.5576646327972412,0.7079497200376115
0.9018221370977276,0.9881629661157221,0.608143672261887,0.6829656256962913,15,0.5,2,0.5458574295043945,0.5267678681577113
0.9219257052327918,0.9888411245891561,0.6232262295424043,0.5888654200333501,15,0.5,3,0.5589902400970459,0.847025528411428
0.9011288453808138,0.987760043508075,0.5703896866540742,0.71511481237713,30,0.0,2,0.885631799697876,0.377108396534222
0.9100347591686174,0.9881185122130004,0.5842967061370677,0.6768769332884085,30,0.0,3,0.9139366149902344,0.5330835550067575
0.8982346125653212,0.987785580856447,0.5870540668463412,0.6953097768057749,30,0.1,2,0.8875041007995605,0.4155473096063256
0.9113068974486297,0.9883918564233525,0.6151459273576683,0.6292785744066033,30,0.1,3,0.924889326095581,0.6780596887906983
0.8932671253931096,0.9875765529308836,0.6271681524791006,0.6628109800528402,30,0.3,2,0.8989348411560059,0.4676851803561005
0.9151289872549715,0.9884599560190112,0.6442928126484779,0.5947649628232529,30,0.3,3,0.9346394538879395,0.7930648129522451
0.8867257808990092,0.9873760374547776,0.635862872773237,0.6568408904520088,30,0.5,2,0.8999583721160889,0.43143892309822973
0.9142834172755433,0.9885564304461942,0.6638542175911647,0.5694566827060725,30,0.5,3,0.9257333278656006,0.8615593419156911
0.8820647419072616,0.9870667517911612,0.6174776474122687,0.6964929019913225,50,0.0,2,1.3737576007843018,0.2941440317868622
0.9014797474639994,0.987813009860254,0.5907006897469813,0.6739048646365949,50,0.0,3,1.3726813793182373,0.46688180309570226
0.8832744555579202,0.9871868719112814,0.6296262980474251,0.6818293486206637,50,0.1,2,1.3355236053466797,0.3513944294317668
0.9046359745572344,0.9878007140999266,0.613292823118067,0.6433080304504115,50,0.1,3,1.3979835510253906,0.5538992173946212
0.8780648364900333,0.9870658059634437,0.6449996012719057,0.6675181038235805,50,0.3,2,1.3656344413757324,0.3519441079474438
0.9027216192570523,0.9877307228488331,0.6464804837862441,0.607433570516406,50,0.3,3,1.3854403495788574,0.6313044757432567
0.8782133314416779,0.98713106807595,0.6492193275137781,0.6579202785644779,50,0.5,2,1.3444833755493164,0.3786935916090235
0.9023016717504906,0.9877978766167742,0.6615019188887575,0.5799251523285863,50,0.5,3,1.3742501735687256,0.6939933020282774
