trustworthiness,continuity,distance_corr,mrre,n_neighbors,min_dist,n_components,runtime_s,composite_score
0.9162545222387742,0.9882461989548603,0.6062722475760943,0.7364503433498779,5,0.0,2,0.28109312057495117,0.542764320507453
0.9147232271641721,0.9882802487526897,0.5743891978842323,0.7641024845834411,5,0.0,3,0.2823145389556885,0.47640918277718675
0.9161306188077841,0.9883076777564966,0.5764961678473176,0.75995792720624,5,0.1,2,0.2794673442840576,0.4925504926144712
0.9195214111749545,0.9883474025206309,0.5893725917361853,0.7162455503633088,5,0.1,3,0.281055212020874,0.5709553271581551
0.9164767917523823,0.9882991653070393,0.6579131468768885,0.6725704774669007,5,0.3,2,0.27460646629333496,0.6691650434034924
0.9231968976850866,0.9885072474048852,0.6249182582063342,0.6484722017115291,5,0.3,3,0.2813694477081299,0.7116065887993254
0.9106930552599843,0.9881090539358256,0.6226752690339024,0.6905496666552697,5,0.5,2,0.2767512798309326,0.5651792452846138
0.923936534960157,0.9885942635548934,0.646140101511145,0.5867882481093775,5,0.5,3,0.28675198554992676,0.8087785888683208
0.911844127592159,0.9888240996902414,0.5026877313718876,0.7739324282047567,10,0.0,2,0.4056267738342285,0.4296637676127765
0.9246648223026176,0.9892648554065877,0.5387136600556622,0.7383510947965971,10,0.0,3,0.4179716110229492,0.6121554310478792
0.9140620935896526,0.9888817951810078,0.6055399774120759,0.6939907739756409,10,0.1,2,0.4085044860839844,0.6380380643261074
0.9279336028942328,0.9893339008299639,0.6094483805341034,0.6511608068427484,10,0.1,3,0.4187338352203369,0.7992245936935107
0.9096725071528221,0.9886245300418529,0.6420682905037953,0.6433720213635545,10,0.3,2,0.40322446823120117,0.6806200058119899
0.9270814121207822,0.989497529025088,0.6432912428173816,0.5833430300854533,10,0.3,3,0.41419005393981934,0.9161600732638999
0.9052677874725119,0.9887030337424039,0.6443079004588821,0.6567030238022272,10,0.5,2,0.40949273109436035,0.6559919827019456
0.9286013572627746,0.9895448204109621,0.6707669997340971,0.5416041777017093,10,0.5,3,0.41698741912841797,1.0
0.9064122390106641,0.9884845475396656,0.4651857492909822,0.7883658472497491,15,0.0,2,0.5145101547241211,0.31335095785727335
0.9130576245536876,0.9889338157054692,0.5241885380197973,0.7095946117753636,15,0.0,3,0.5405502319335938,0.5344257224807591
0.9068406989666832,0.9884448227755315,0.440542239082002,0.7916759078916578,15,0.1,2,0.5135982036590576,0.2813652631834316
0.9166498782246814,0.9892431013690857,0.5503063586380065,0.6563311949851445,15,0.1,3,0.5256166458129883,0.6650694219957994
0.9026667612494385,0.9884713059516209,0.5819489929911459,0.6965797843251615,15,0.3,2,0.5187594890594482,0.5121183668284444
0.9195876191151782,0.9893367383131163,0.6000950180578528,0.5953274288326676,15,0.3,3,0.5302796363830566,0.8040766146844598
0.9028748433472843,0.988390910595635,0.6023464337339095,0.6808002730490417,15,0.5,2,0.5145831108093262,0.5429194413662828
0.9205476342484217,0.9893234967250715,0.6064351637523281,0.5820691484825018,15,0.5,3,0.5238165855407715,0.8276009768195762
0.887772812182261,0.9876995105341562,0.5805540399710972,0.7207103973268969,30,0.0,2,0.8043010234832764,0.3349203076845659
0.9045621999952709,0.9882083658461611,0.5631520592281217,0.6884463034098189,30,0.0,3,0.8232429027557373,0.4825224973501861
0.8979801849093187,0.9879075926320021,0.6172759326069732,0.6873664112907977,30,0.1,2,0.7994778156280518,0.47948156045636586
0.9096895320517367,0.9883237568276938,0.5769918970390824,0.6690671628495513,30,0.1,3,0.8144741058349609,0.5538667836196383
0.8904353172069708,0.9877657184743799,0.6021267368473875,0.6860307605585217,30,0.3,2,0.8004293441772461,0.41283615230209386
0.914098035042917,0.9884750892624908,0.6261899258563455,0.5979548416737405,30,0.3,3,0.8200373649597168,0.7154277858955449
0.8832867513182474,0.9876285734553452,0.595582615154192,0.6861545894530523,30,0.5,2,0.7953276634216309,0.35650660255215855
0.9148603721832068,0.988465630985316,0.6431977309176005,0.5726960909908247,30,0.5,3,0.8143324851989746,0.7619431947996763
0.8859870894516564,0.9873911706982573,0.6010999248417175,0.6925009208081888,50,0.0,2,1.1442151069641113,0.345389363444687
0.9028720058641319,0.9878962426993924,0.5944282529540071,0.6548233723864383,50,0.0,3,1.1744062900543213,0.5101424006654627
0.8847717008346929,0.987351445934123,0.6298990005063596,0.6729357460522868,50,0.1,2,1.1595633029937744,0.38621098576379315
0.9005821569601097,0.987814901515689,0.6187594961433748,0.6334106445303769,50,0.1,3,1.1627216339111328,0.5384509465691536
0.8838277647726467,0.9871206639710577,0.6342775068141961,0.6585299464114251,50,0.3,2,1.148102045059204,0.37732968226188585
0.9066032962095955,0.987991771298858,0.6335290220320867,0.591144641345665,50,0.3,3,1.1769390106201172,0.6443170652897476
0.877830271216098,0.987078101723771,0.6407416099663577,0.6528035928864233,50,0.5,2,1.1418209075927734,0.35622804956842474
0.9091097396609208,0.9880636542053864,0.6488798529157312,0.5673507522842681,50,0.5,3,1.1780295372009277,0.7044006856576079
